10:08:06.877 [main] INFO  service.impl.ArraySortStreamImpl - Sort with stream sortCustomerArray(CustomerArray customerArray) has finished. Sorted array :CustomerArray[5.6, 4.8, -1.2, -6.3, -8.0, -5.0, 6.3, 5.7]
10:08:06.878 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start quick sort.
10:08:06.879 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.0, 2.5, -3.0, 5.8, 9.6, 6.3, 8.7, -6.0]
10:08:06.879 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:08:06.879 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[1.0, 2.5, -3.0, 5.8, 9.6, 6.3, 8.7, -6.0]
10:08:06.879 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start quick sort.
10:08:06.880 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.0, 2.5, -3.0, -6.0, 9.6, 6.3, 8.7, 5.8]
10:08:06.880 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:08:06.880 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[1.0, 2.5, -3.0, -6.0, 9.6, 6.3, 8.7, 5.8]
10:08:06.880 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start quick sort.
10:08:06.880 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.0, 2.5, -3.0, -6.0, 5.8, 6.3, 8.7, 9.6]
10:08:06.880 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:08:06.880 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[1.0, 2.5, -3.0, -6.0, 5.8, 6.3, 8.7, 9.6]
