10:06:32.232 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: false
10:06:32.232 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: -1.8, 9.6,8.7, 1.3 6.1 8 0
10:06:32.232 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:06:32.232 [main] INFO  reader.impl.DataStringReaderStreamImpl - Reading from txt has finished. Line  = Optional[-1.8, 9.6,8.7, 1.3 6.1 8 0]
10:06:32.232 [main] INFO   - numberLineForParsing = -1.8, 9.6,8.7, 1.3 6.1 8 0
10:06:32.232 [main] INFO  task.parser.ParserStringToArrayDouble - Start parse in parseStringToDouble(String line). Line = -1.8, 9.6,8.7, 1.3 6.1 8 0
10:06:32.233 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: -1.8, 9.6,8.7, 1.3 6.1 8 0
10:06:32.233 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:06:32.233 [main] INFO  task.parser.ParserStringToArrayDouble - Finish parse in parseStringToDouble(String line). Array : [-1.8, 9.6, 8.7, 1.3, 6.1, 8.0, 0.0]
10:06:32.233 [main] INFO   - Parsed array = [-1.8, 9.6, 8.7, 1.3, 6.1, 8.0, 0.0]

10:06:32.233 [main] INFO   - numberLineForParsing = -1.8, 9.6,8.7, 1.3 6.1 8 0
10:06:32.233 [main] INFO  task.parser.ParserStringToArrayDoubleStream - Start parse in parseStringToDouble(String line). Line = -1.8, 9.6,8.7, 1.3 6.1 8 0
10:06:32.234 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: -1.8, 9.6,8.7, 1.3 6.1 8 0
10:06:32.234 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:06:32.236 [main] INFO  task.parser.ParserStringToArrayDoubleStream - Finish parse in parseStringToDouble(String line). Array : [-1.8, 9.6, 8.7, 1.3, 6.1, 8.0, 0.0]

10:06:32.237 [main] INFO   - Parsed array = [-1.8, 9.6, 8.7, 1.3, 6.1, 8.0, 0.0]

10:06:32.237 [main] INFO   - Array for creating = [-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:06:32.237 [main] INFO  task.creator.CustomerArrayCreator - Start creating CustomArray
10:06:32.238 [main] INFO  task.creator.CustomerArrayCreator - CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:06:32.238 [main] INFO   - CustomerArray  = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]

10:06:32.238 [main] INFO  task.creator.CustomerArrayCreator - Start creating CustomArray
10:06:32.238 [main] INFO  task.creator.CustomerArrayCreator - CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:06:32.238 [main] INFO   - Array for arithmetic operation  = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:06:32.239 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.findMaxValueOfArray()
10:06:32.239 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:06:32.240 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:06:32.240 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:06:32.240 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Max value of array = 9.6

10:06:32.241 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:06:32.241 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:06:32.241 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.findMinValueOfArray()
10:06:32.241 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:06:32.241 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Min value of array = -1.8

10:06:32.241 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start findAverageValueOfArray()
10:06:32.241 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:06:32.241 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
