10:18:13.201 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start countNegativeValueOfArray()
10:18:13.201 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.0, 2.5, -3.1, 6.0]
10:18:13.201 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.201 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[1.0, 2.5, -3.1, 6.0]
10:18:13.201 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Number negative elements of array = 1

10:18:13.202 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start countNegativeValueOfArray()
10:18:13.202 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start countPositiveValueOfArray()
10:18:13.202 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.0, 2.5, -3.1, 6.0]
10:18:13.202 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.202 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[1.0, 2.5, -3.1, 6.0]
10:18:13.202 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Number positive elements of array = 3

10:18:13.203 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start countPositiveValueOfArray()
10:18:13.203 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.exchangeNumberOfArrayToOtherNumber()
10:18:13.203 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.0, 2.5, -3.1, 6.0]
10:18:13.203 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.203 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[1.0, 2.5, -3.1, 6.0]
10:18:13.203 [main] INFO  service.impl.ArrayArithmeticLogicImpl - New array = [2.0, 2.5, -3.1, 6.0]
10:18:13.203 [main] INFO  service.impl.ArrayArithmeticLogicImpl - New array = CustomerArray[2.0, 2.5, -3.1, 6.0]

10:18:13.203 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.exchangeNumberOfArrayToOtherNumber()
10:18:13.204 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.findMaxValueOfArray()
10:18:13.204 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-3.6, 0.7, 2.7, 2.6, 2.4, 1.3, -1.0, -2.2, -1.5, 2.6]
10:18:13.204 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.204 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[-3.6, 0.7, 2.7, 2.6, 2.4, 1.3, -1.0, -2.2, -1.5, 2.6]
10:18:13.204 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Max value of array = 2.7

10:18:13.204 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.findMaxValueOfArray()
